ID,Name,Full Name,Alter Egos,Publisher,Alignment,Gender,Race,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat
1,A-Bomb,Richard Milhouse Jones,No alter egos found.,Marvel Comics,good,Male,Human,6'8 // 203 cm,980 lb // 441 kg,38,100,17,80,24,64
2,Abe Sapien,Abraham Sapien,No alter egos found.,Dark Horse Comics,good,Male,Icthyo Sapien,6'3 // 191 cm,145 lb // 65 kg,88,28,35,65,100,85
3,Abin Sur,,No alter egos found.,DC Comics,good,Male,Ungaran,6'1 // 185 cm,200 lb // 90 kg,50,90,53,64,99,65
4,Abomination,Emil Blonsky,No alter egos found.,Marvel Comics,bad,Male,Human / Radiation,6'8 // 203 cm,980 lb // 441 kg,63,80,53,90,62,95
5,Abraxas,Abraxas,No alter egos found.,Marvel Comics,bad,Male,Cosmic Entity,- // 0 cm,- lb // 0 kg,88,63,83,100,100,55
6,Absorbing Man,Carl Creel,No alter egos found.,Marvel Comics,bad,Male,Human,6'4 // 193 cm,270 lb // 122 kg,38,80,25,100,98,64
7,Adam Monroe,,No alter egos found.,NBC - Heroes,good,Male,null,- // 0 cm,- lb // 0 kg,63,10,12,100,100,64
8,Adam Strange,Adam Strange,No alter egos found.,DC Comics,good,Male,Human,6'1 // 185 cm,195 lb // 88 kg,69,10,33,40,37,50
9,Agent 13,Sharon Carter,Sharon Carter,Sharon Carter,good,Female,null,5'8 // 173 cm,135 lb // 61 kg,null,46,null,null,null,null
10,Agent Bob,Bob,No alter egos found.,Marvel Comics,good,Male,Human,5'10 // 178 cm,181 lb // 81 kg,10,8,13,5,5,20
11,Agent Zero,Christoph Nord,No alter egos found.,Marvel Comics,good,Male,null,6'3 // 191 cm,230 lb // 104 kg,75,28,38,80,72,95
12,Air-Walker,Gabriel Lan,No alter egos found.,Marvel Comics,bad,Male,null,6'2 // 188 cm,240 lb // 108 kg,50,85,100,85,100,40
13,Ajax,Francis,No alter egos found.,Marvel Comics,bad,Male,Cyborg,6'4 // 193 cm,200 lb // 90 kg,56,48,35,80,34,55
14,Alan Scott,Alan Ladd Wellington Scott,No alter egos found.,DC Comics,good,Male,null,5'11 // 180 cm,201 lb // 90 kg,63,80,23,90,100,32
15,Alex Mercer,Alexander J. Mercer,No alter egos found.,Wildstorm,bad,Male,Human,- // 0 cm,- lb // 0 kg,50,80,42,90,100,50
16,Alex Woolsly,Alex Woolsly,No alter egos found.,NBC - Heroes,good,Male,null,- // 0 cm,- lb // 0 kg,null,37,null,null,null,null
